GO Term,Description,P-value,FDR q-value,Enrichment,N,B,n,b,Genes
GO:0007389,pattern specification process,1.13E-08,1.64E-04,7.68,12835,275,79,13,"[Nrg3  -  neuregulin 3, Meis2  -  meis homeobox 2, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Pbx1  -  pre b cell leukemia homeobox 1, Satb2  -  special at-rich sequence binding protein 2, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0032502,developmental process,1.17E-08,8.50E-05,2.1,12835,3557,79,46,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Aff3  -  af4/fmr2 family, member 3, Tpt1  -  tumor protein, translationally-controlled 1, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Dscaml1  -  down syndrome cell adhesion molecule like 1, Kank2  -  kn motif and ankyrin repeat domains 2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Rps3a1  -  ribosomal protein s3a1, Ctnnd2  -  catenin (cadherin associated protein), delta 2, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Cdh8  -  cadherin 8, Sox6  -  sry-box containing gene 6, Pbx1  -  pre b cell leukemia homeobox 1, Tcf4  -  transcription factor 4, Rai14  -  retinoic acid induced 14, Kcnma1  -  potassium large conductance calcium-activated channel, subfamily m, alpha member 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Heg1  -  heg homolog 1 (zebrafish), Nrg3  -  neuregulin 3, Meg3  -  maternally expressed 3, Neb  -  nebulin, Zbtb18  -  zinc finger and btb domain containing 18, Etl4  -  enhancer trap locus 4, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Cdc20  -  cell division cycle 20, Epha3  -  eph receptor a3, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Msn  -  moesin, Itpk1  -  inositol 1,3,4-triphosphate 5/6 kinase, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Plxna2  -  plexin a2, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Basp1  -  brain abundant, membrane attached signal protein 1]"
GO:0050793,regulation of developmental process,1.90E-08,9.16E-05,2.62,12835,2105,79,34,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Tpt1  -  tumor protein, translationally-controlled 1, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Dleu2  -  deleted in lymphocytic leukemia, 2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Nrg3  -  neuregulin 3, Iqgap3  -  iq motif containing gtpase activating protein 3, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Cdc20  -  cell division cycle 20, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Msn  -  moesin, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Clstn2  -  calsyntenin 2, Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:2000026,regulation of multicellular organismal development,2.75E-08,9.95E-05,2.87,12835,1699,79,30,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Dleu2  -  deleted in lymphocytic leukemia, 2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Nrg3  -  neuregulin 3, Iqgap3  -  iq motif containing gtpase activating protein 3, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Foxp4  -  forkhead box p4, Gli2  -  gli-kruppel family member gli2, Cdc20  -  cell division cycle 20, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Clstn2  -  calsyntenin 2, Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0048869,cellular developmental process,2.83E-08,8.20E-05,2.58,12835,2138,79,34,"[Nfib  -  nuclear factor i/b, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Rps3a1  -  ribosomal protein s3a1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Ctnnd2  -  catenin (cadherin associated protein), delta 2, Cdh8  -  cadherin 8, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Rai14  -  retinoic acid induced 14, Kcnma1  -  potassium large conductance calcium-activated channel, subfamily m, alpha member 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Heg1  -  heg homolog 1 (zebrafish), Neb  -  nebulin, Zbtb18  -  zinc finger and btb domain containing 18, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Cdc20  -  cell division cycle 20, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Msn  -  moesin, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0098609,cell-cell adhesion,4.85E-08,1.17E-04,6.79,12835,311,79,13,"[Fat3  -  fat tumor suppressor homolog 3 (drosophila), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dscaml1  -  down syndrome cell adhesion molecule like 1, Epha3  -  eph receptor a3, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Msn  -  moesin, Ctnnd2  -  catenin (cadherin associated protein), delta 2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Cdh8  -  cadherin 8, Rpsa  -  ribosomal protein sa, Clstn2  -  calsyntenin 2]"
GO:0009653,anatomical structure morphogenesis,5.54E-08,1.15E-04,3.38,12835,1154,79,24,"[Heg1  -  heg homolog 1 (zebrafish), Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Aff3  -  af4/fmr2 family, member 3, Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Dscaml1  -  down syndrome cell adhesion molecule like 1, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Msn  -  moesin, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Ctnnd2  -  catenin (cadherin associated protein), delta 2, Cdh8  -  cadherin 8, Sox6  -  sry-box containing gene 6, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2]"
GO:0048856,anatomical structure development,5.93E-08,1.07E-04,2.35,12835,2556,79,37,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Dscaml1  -  down syndrome cell adhesion molecule like 1, Kank2  -  kn motif and ankyrin repeat domains 2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Ctnnd2  -  catenin (cadherin associated protein), delta 2, Cdh8  -  cadherin 8, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Heg1  -  heg homolog 1 (zebrafish), Nrg3  -  neuregulin 3, Meg3  -  maternally expressed 3, Neb  -  nebulin, Zbtb18  -  zinc finger and btb domain containing 18, Etl4  -  enhancer trap locus 4, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Cdc20  -  cell division cycle 20, Epha3  -  eph receptor a3, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Itpk1  -  inositol 1,3,4-triphosphate 5/6 kinase, Msn  -  moesin, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0051241,negative regulation of multicellular organismal process,7.22E-08,1.16E-04,3.61,12835,989,79,22,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Nrg3  -  neuregulin 3, Meis2  -  meis homeobox 2, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dleu2  -  deleted in lymphocytic leukemia, 2, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Abcd2  -  atp-binding cassette, sub-family d (ald), member 2, Nrg1  -  neuregulin 1, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Kcnma1  -  potassium large conductance calcium-activated channel, subfamily m, alpha member 1, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0051093,negative regulation of developmental process,7.88E-08,1.14E-04,3.95,12835,823,79,20,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Nrg3  -  neuregulin 3, Meis2  -  meis homeobox 2, Tpt1  -  tumor protein, translationally-controlled 1, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dleu2  -  deleted in lymphocytic leukemia, 2, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
